FID,GEONAME,GENERIC,X,Y
4435,Lawrence Creek,Creek,-115.56667,52.566667
4436,Lawrence Lake,Lake,-113.7027778,54.9858333999999
4437,Lawrence River,River,-115.0119444,58.3861111
4438,Lawson Lake,Lake,-110.7588889,53.3205555999999
4439,Lawson Lake,Lake,-115.2661111,50.6772222
4440,Lawsonburg,Locality,-112.1591667,51.4836110999999
4441,Lawton,Locality,-114.4966667,54.0433334
4442,Layla Creek,Creek,-115.7413889,54.6027777999999
4443,Layton Creek,Creek,-113.3838889,49.4094444999999
4444,Lazar Lake,Lake,-113.9727778,57.4888888999999
4445,Le Grand Brazeau,Range,-117.25,52.4333333
4446,Lea Park,Locality,-110.340277799999,53.6555556
4447,Leach Lake,Lake,-117.904722199999,52.6938888999999
4448,Leah Lake,Lake,-116.866944399999,52.3352778
4449,Leah Peak,Peak,-117.5538889,52.7122223
4450,Leahurst,Locality,-112.642499999999,52.3875
4451,Leaman,Locality,-115.4757685,53.620784
4452,Leane Lake,Lake,-110.0619444,52.5649999999999
4453,Leather Peak,Peak,-118.6030556,52.8797222
4454,Leavitt,Hamlet,-113.45,49.1666667
4455,Lebeaus Lake,Lake,-113.75,54.25
4456,Lectern Peak,Peak,-118.1116667,52.7449999999999
4457,Leddy,Locality,-117.521944399999,56.3641666999999
4458,Leddy Lake,Lake,-117.4583333,56.3969444
4459,Leduc,City,-113.545833299999,53.2666666
4460,Leduc County,Municipal District,-113.783332999999,53.216667
4461,Lee Creek,Creek,-113.266388899999,49.2236110999999
4462,Lee Lake,Lake,-112.56667,52
4463,Lee Lake,Lake,-113.179444399999,54.5063888999999
4464,Lee Lake,Lake,-114.246388899999,49.5419443999999
4465,Lee Ridge,Urban Community,-113.44583,53.469444
4466,Leech Lake,Lake,-115.255555599999,54.1099999999999
4467,Leedale,Hamlet,-114.4697222,52.5819443999999
4468,Leeshore,Former Post Office,-112.823099999999,54.0452999999999
4469,Lefroy Glacier,Glacier,-116.2669444,51.3761111
4470,Legal,Town,-113.595111,53.9495
4471,Legend,Locality,-111.609722199999,49.4844445
4472,Legend Coulee,Coulee,-111.4986111,49.3955556
4473,Legend Lake,Lake,-112.9252778,57.4013889
4474,Leggett Creek,Creek,-111.435277799999,56.9416665999999
4475,Leggo Lake,Lake,-110.637777799999,59.7413888999999
4476,Lehigh,Locality,-112.533333299999,51.35
4477,Leicester,Locality,-116.406388899999,55.7233333
4478,Leicester Lake,Lake,-111.861388899999,54.78
4479,Leighmore,Locality,-119.6655556,55.1208333
4480,Leismer,Locality,-111.041111099999,55.7538889
4481,Leitch Collieries Provincial Historic Site (Developed),Provincial Historic Site,-114.31667,49.566667
4482,Leith (Little Burnt) River,River,-118.1513889,55.9186111
4483,Leithead Lake,Lake,-112.113333299999,52.0275
4484,Leland Lakes,Lakes,-111.021111099999,59.8583332999999
4485,Leman Lake,Lake,-115.4297222,50.7511111
4486,Leming Lake,Lake,-110.501388899999,54.5947222
4487,Lemiseau Lake,Lake,-112.4841667,55.1099999999999
4488,Lemon Island,Island,-111.514722199999,59.7011110999999
4489,Lemp Lake,Lake,-110.664166699999,52.8397221999999
4490,Lenarthur,Locality,-111.055277799999,56.5155555999999
4491,Lendrum Creek,Creek,-116.579999999999,53.1988889
4492,Lendrum Place,Urban Community,-113.51667,53.5
4493,Lennard Creek,Creek,-119.875833299999,57.3455555
4494,Lenzie,Locality,-112.9044444,49.715
4495,Leo,Locality,-112.3586111,52.0547222
4496,Leo's Creek,Creek,-110.6513889,56.7469444999999
4497,Leslieville,Hamlet,-114.604722199999,52.3833332999999
4498,Lessard,Former Post Office,-110.63333,54.4333329999999
4499,Lessard Creek,Creek,-116.885277799999,59.7961110999999
4500,Lessard Lake,Lake,-114.6525,53.7849999999999
4501,Lesser Slave Lake,Lake,-115.4886111,55.4405555
4502,Lesser Slave Lake Provincial Park,Provincial Park,-114.8136111,55.4122222
4503,Lesser Slave Lake Settlement,Settlement,-116.1252778,55.5194443999999
4504,Lesser Slave River,River,-114.058611099999,55.1663889
4505,Lesueur Creek,Creek,-114.9669444,51.2644445
4506,Lethbridge,City,-112.8419444,49.6936110999999
4507,Lethbridge County,Municipal District,-112.8238888,49.8219442999999
4508,Lethbridge Range,Canadian Forces Range and/or Training Area (C.F.T.A.),-112.849999999999,49.716667
4509,Letour Lake,Lake,-114.6833333,53.3333334
4510,Leval Creek,Creek,-115.419722199999,50.7749999999999
4511,Levellers Creek,Creek,-120.001388899999,57.9705555999999
4512,Levering Lake,Lake,-113.1569444,53.2369443999999
4513,Levi Creek,Creek,-117.9661111,53.4119444999999
4514,Lewis Creek,Creek,-115.4783333,52.4080555999999
4515,Leyland,Locality,-117.321666699999,53.0361112
4516,Leyland Mountain,Mountain,-117.3822222,53.0202778
4517,Li Dez̩ 196c,Indian Reserve,-111.5536806,59.868848
4518,Lick Creek,Creek,-115.298333299999,52.2513889
4519,Lick Creek,Creek,-119.861388899999,54.2572223
4520,Lick Creek,Creek,-117.8213889,52.5969443999999
